movie_id,person_id,character,credit_id
954,500,"Ethan Hunt","52fe4293c3a36847f8029509"
954,10127,"Jim Phelps","52fe4293c3a36847f802950d"
954,15319,"Eugene Kittridge","52fe4293c3a36847f8029515"
